apartado,tipo,bien,bien_limpio,cluster,item,cluster_6947,cluster_2275,cluster_1015,cluster_684,cluster_405,cluster_236,cluster_137,cluster_85,cluster_50,cluster_29,cluster_21,cluster_16,cluster_15,cluster_12,cluster_8,cluster_7,cluster_5,cluster_4,cluster_3,cluster_2,cluster_1
Mobiliario,Mobiliario,"SILLA EJECUTIVA EN MALLA POLIMERIZADA ESTRUCTURA DE RESPALDO Y CONCHA FABRICADA EN POLIPROPILENO, TA",silla ejecutiva malla polimerizada estructura respaldo concha fabricada polipropileno ta,0,silla,3716,766,735,10,187,132,9,1,8,8,8,8,8,8,0,1,1,0,0,0,0
Equipo,Equipo,"COMPUTADORA PORTÁTIL ASUS NOTEBOOK EN COLOR NEGRO, PANTALLA LCD DE 14"" FULL HD, DISCO DURO 1 TB, MEM",computadora portátil asus notebook color negro pantalla lcd full hd disco duro tb mem,1,computadora,1227,324,85,484,2,15,6,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Mobiliario,Mobiliario,LIBRERO DE PISO DE 1080 X 80 X 40 CMS CON TRES ENTREPAÑOS INTERNOS SIN PUERTAS FABRICVADO EN MELAMIN,librero piso x x cm tres entrepaños internos puertas fabricvado melamin,3,librero,6146,1155,508,508,6,39,39,39,41,20,20,2,2,2,0,1,1,0,0,0,0
Mobiliario,Mobiliario,SUMINISTRO MUEBLE MODULAR PORTA AUDIFONOS PARA 20 AUDIFONOS,suministro mueble modular porta audifonos audifonos,0,suministro,1290,440,238,238,23,7,4,70,1,1,0,2,2,2,0,1,1,0,0,0,0
Equipo,Equipo,CANON EF-S 10-22MM F/3.5-4.5 USM SLR LENTE PARA CÁMARA REFLEX DIGITAL EOS N/S 19973360 (PRO-SNI 2015,canon efs mm f usm slr lente cámara reflex digital eos n prosni,0,canon,979,61,997,316,157,46,94,16,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"ELIMINADOR PARA MACBOOK PRO 13"" 60W/MC461E/A",eliminador macbook pro wmcea,0,eliminador,910,1294,92,186,53,217,108,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"CPU, VOLT III CORE I7 4770/8 GB/1 TB/DVD-RMW8.1 PRO, factura 7152, recurso PROINPEP",cpu volt iii core i gb tbdvdrmw pro factura recurso proinpep,1,cpu,2268,1557,650,650,22,15,6,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"TV LED 70"" FULL HD USB 4 HDMI SMART TV",tv led full hd usb hdmi smart tv,0,tv,1559,480,962,203,101,204,25,5,5,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,TELEFONO CELULAR SAMSUNG GALAXY ACE 4 LITE IMEI: 354073/06/987509/5.,telefono celular samsung galaxy ace lite imei,0,telefono,1778,49,302,605,130,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,VIDEOPROYECTOR EPSON POWERLITE W15+,videoproyector epson powerlite w,0,videoproyector,449,1285,277,277,277,138,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"DISCO DURO WD RED 3.5""/2 TB. S-ATA3 6GBS 64 MB/INTELLIPOWER 24 X 7 HOT PLUG P/NAS 1-8 BAHIAS",disco duro wd red tb sata gb mbintellipower x hot plug pnas bahias,1,disco,316,1633,64,261,36,148,11,23,23,23,11,11,11,11,2,2,2,2,2,0,0
Equipo,Equipo,MANAGED POE+GIGABIT SWITCH WITH SFP,managed poegigabit switch with sfp,0,managed,900,1763,732,154,3,0,2,3,0,0,2,0,1,0,1,0,0,0,0,0,0
Equipo,Equipo,"MICRO ESTACION HOBO DE 4 CANALES/SENSOR TIPO INTELIGENTE. EXTERIORES, FACTURA: 1305, CON FECHA 26/03",micro estacion hobo canalessensor tipo inteligente exteriores factura fecha,0,micro,4799,116,209,135,171,85,85,0,22,5,12,12,12,0,1,0,0,0,0,0,0
